id_from	id_to	cat_from	cat_to	edge_betweenness
B0779CLBHM	B07P1YT3KP	beauty	sports	0.00014877210874604177
B0143LPT4S	B008SO7JZ4	beauty	hpc	7.439228697078989e-05
B0143LPT4S	B07KB7HRDL	beauty	dvd	0.0007433619359086889
B019GJLER8	B07MJCFH33	electronics	pet-supplies	0.00037183678289856944
B019GJLER8	B07H3NBJRG	electronics	sports	0.00014877210874604177
B00JZKFRS6	B07M9VC3ML	electronics	jewelry	2.4930391076001975e-08
B01EOMRY8A	B078YKC4V6	kitchen	jewelry	0.0005204842396892312
1591034892	B07CGPRNRM	english-books	industrial	6.232597769000493e-08
1591034892	8829927929	english-books	books	6.232597769000493e-08
1591034892	8894155927	english-books	books	6.232597769000493e-08
B07DM8NX9C	B07MZ4936H	toys	shoes	0.00044616674389166936
B07MZ4936H	B0799H5M85	shoes	apparel	0.00037183678289856944
B00HZFN69U	B06XNMVMHQ	lighting	hpc	3.1162988845002466e-08
B00521Z3L8	B0070AUUOE	kitchen	office	0.0008176295709240987
B01K76S7V0	B06XHGG9F1	sports	apparel	9.97215643040079e-08
880050051X	8800510175	english-books	books	9.34889665350074e-08
880050051X	8848001343	english-books	books	2.4307131299101924e-07
B01MF72HSY	B00PYLBKV8	music	electronics	7.439228697078989e-05
B07H63W2GM	B00TPEDN9M	electronics	music	0.00029749435670993154
B00EECAWRG	B00HM6EK3S	garden	tools	0.00014877210874604177
1441310223	B07747FR44	english-books	amazon-ereaders	0.00044616674389166936
B07747FR44	B06XSF2J1R	amazon-ereaders	appliances	0.0007433619359086889
B07747FR44	B07JNMXZXY	amazon-ereaders	electronics	7.439228697078989e-05
B07FNS6P74	B07KZ3FL99	toys	videogames	7.439228697078989e-05
B072P61V3F	B0762L74T1	tools	garden	7.439228697078989e-05
B0716MD5MR	B073X3W8WS	sports	luggage	0.00014877210874604177
B003XIICTC	B07GZF5K3G	apparel	shoes	0.003335312370102924
B07GZF5K3G	B07MG8J4TS	shoes	electronics	0.0013371539905569039
B00BAVG3LS	B01CPKO95E	garden	tools	5.609337992100445e-07
B07DBR5ZJQ	B07D62ZGF7	apparel	jewelry	0.0005947892702912551
B07DM14WW1	B01MU79UKY	videogames	toys	0.00037183678289856944
8800500536	0192767216	books	english-books	9.34889665350074e-08
8891821659	B01N6EYRYK	books	luggage	7.439228697078989e-05
B00YK8TOG4	B077HQ12LN	office	handmade	7.439228697078989e-05
B0041R9NMO	B071V4W665	hpc	electronics	7.439228697078989e-05
B0041R9NMO	B07MDFPZ1T	hpc	luggage	7.439228697078989e-05
B007CSTBQC	B07K2P6FY8	hpc	lighting	0.00014877210874604177
B07K2P6FY8	B075FS83WC	lighting	electronics	7.439228697078989e-05
B0084OI4PC	B001C0G1X2	office	tools	7.439228697078989e-05
B008BGXREG	B0044DDDYO	office	electronics	7.439228697078989e-05
B07L6G8Z69	B077F3Q5LV	industrial	tools	7.439228697078989e-05
B01IDPQSTK	B07D43QN3J	toys	sports	9.97215643040079e-08
B00FQD588A	B0148TBK2K	sports	garden	2.4930391076001975e-08
B01MR6ORI6	B078N2HJ8V	musical-instruments	pc	7.439228697078989e-05
B07F2RF7YD	B01D8UA8UU	apparel	baby	7.439228697078989e-05
1853260487	8883371224	english-books	books	7.439228697078989e-05
B01FSP2ECS	B0774YHMXC	luggage	apparel	7.439228697078989e-05
B01FSP2ECS	B07MXMXSLY	luggage	apparel	7.439228697078989e-05
B01FSP2ECS	B0774M3NXG	luggage	apparel	0.00014877210874604177
B07L3QZ8BD	B00272N8KS	luggage	toys	7.439228697078989e-05
B015OEHFGS	B075QKQD2X	office	electronics	7.439228697078989e-05
B00E3MLHD0	B00VEA9MSQ	office	pc	0.00022313946532575568
B07MXFYKBH	B07572NLGD	electronics	beauty	7.439228697078989e-05
B07MXFYKBH	B07CKNLHRX	electronics	luggage	7.439228697078989e-05
B00C7N1QRO	B0778NQ286	grocery	shoes	0.00029749435670993154
B0754N28BC	B07146JWR9	beauty	hpc	7.439228697078989e-05
B071ZZ37Q1	B01N2JM30N	watch	apparel	4.3628184383003455e-08
B074HB3N47	8806147412	dvd	books	2.4930391076001975e-08
B06W2NLWQ8	B078PJSCW4	kitchen	musical-instruments	0.00022313946532575568
B06W2NLWQ8	B01D4ID2DQ	kitchen	toys	0.00029749435670993154
B078PJSCW4	B06XDNDNTM	musical-instruments	books	7.439228697078989e-05
0194620956	8848260969	english-books	books	2.4930391076001975e-08
B0002PSCQM	B009B15N0Q	musical-instruments	electronics	7.439228697078989e-05
B000AYN7LU	B06Y22Q827	pet-supplies	kitchen	7.439228697078989e-05
B0756Y18RV	B0761R1PHB	baby	jewelry	7.439228697078989e-05
B01E3R7T9K	B07L3RT2DL	office	luggage	2.1814092191501727e-07
B07KM11KXP	B07MV7KQRZ	lighting	tools	2.4930391076001975e-08
B07KM11KXP	B07L9SSTKD	lighting	tools	1.869779330700148e-08
B07MV7KQRZ	B075N7JSHB	tools	sports	1.869779330700148e-08
